id,rec_id,title,image,usedIngredientCount,missedIngredientCount,likes,created_at,updated_at,store_id
311,549761,Brie Crab Cake Pretzel Slider Melts with Strawberry Pineapple Salsa,https://spoonacular.com/recipeImages/brie-crab-cake-pretzel-slider-melts-with-strawberry-pineapple-salsa-549761.jpg,4,16,2366,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
312,98569,Southwest Chicken Salad Wraps,https://spoonacular.com/recipeImages/southwest-chicken-salad-wraps-98569.png,4,18,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
313,110996,Broccoli-cheese Salad,https://spoonacular.com/recipeImages/broccoli-cheese-salad-2-110996.png,3,7,1,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
314,535687,Cheeseburger Soup,https://spoonacular.com/recipeImages/Cheeseburger-Soup-535687.jpg,3,11,23172,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
356,428920,Sage Sausage Dressing,https://spoonacular.com/recipeImages/Sage-Sausage-Dressing-428920.jpg,4,9,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
315,352635,Quick Chick-in-Wine with Brie-Yukon Gold Mashed Potatoes,https://spoonacular.com/recipeImages/quick-chick-in-wine-with-brie-yukon-gold-mashed-potatoes-352635.jpeg,2,12,0,2018-01-07 22:21:05 UTC,2018-01-07 22:21:05 UTC,122
316,182031,c404 - Betty Crocker,https://spoonacular.com/recipeImages/c404-betty-crocker-182031.ashx,12,5,158,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
317,796215,Easy Plant-Based Meal Planning,https://spoonacular.com/recipeImages/easy-plant-based-meal-planning-796215.jpg,10,19,98,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
318,5631,"Easiest Weeknight Skillet Shrimp — Quick, Delicious and Family-Friendly",https://spoonacular.com/recipeImages/easiest-weeknight-skillet-shrimp-quick-delicious-and-family-friendly-5631.jpg,10,23,48,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
319,7877,"Tuna, Tomato, Bean and Basil Salad",https://spoonacular.com/recipeImages/tuna-tomato-bean-and-basil-salad-7877.jpg,10,23,20,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
320,8111,"Lemony White Bean, Tuna and Celery Salad",https://spoonacular.com/recipeImages/lemony-white-bean-tuna-and-celery-salad-8111.jpg,10,23,11,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
321,753884,Round 2 - Thanksgiving Pie,https://spoonacular.com/recipeImages/round-2-thanksgiving-pie-753884.jpeg,9,18,206,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
322,526584,Slow Cooker One Dish Swiss Steak,https://spoonacular.com/recipeImages/slow-cooker-one-dish-swiss-steak-526584.jpg,9,22,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
323,588007,Friday’s Favorites,https://spoonacular.com/recipeImages/fridays-favorites-588007.jpg,9,27,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
324,587970,Friday’s Favorites and a Link-up,https://spoonacular.com/recipeImages/fridays-favorites-and-a-link-up-587970.jpg,8,20,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
325,587932,The Comfy Meal Plan and Winners Announced for WLW,https://spoonacular.com/recipeImages/the-comfy-meal-plan-and-winners-announced-for-wlw-587932.jpg,8,22,0,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
326,623965,Café Mocha and Green Power Smoothie,https://spoonacular.com/recipeImages/Caf-Mocha-and-Green-Power-Smoothie-623965.jpg,7,6,6,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
327,737058,Cheeseburger Cupcakes,https://spoonacular.com/recipeImages/cheeseburger-cupcakes-737058.jpeg,7,10,1,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
328,222136,Cabbage & pork empanadas,https://spoonacular.com/recipeImages/Cabbage---pork-empanadas-222136.jpg,6,6,99,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
329,524213,"layered slaw with beets, apple, cheddar and bacon",https://spoonacular.com/recipeImages/layered-slaw-with-beets--apple--cheddar-and-bacon-524213.jpg,6,9,232,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
330,109487,Deluxe Chicken Supper,https://spoonacular.com/recipeImages/deluxe-chicken-supper-2-109487.jpg,6,10,1,2018-01-07 22:21:11 UTC,2018-01-07 22:21:11 UTC,123
